"Kategorie A";12;;;;;;;;;;;;
"pøíjmení";"jméno";"klub";"Trispol";"ArcelorMittal";"Krnov";"Hodinovka";"TdS";"VP";"Zlín";"Continental";"TdJ";"MRSAC";"MRSAC"
"Bartek";"Dušan";"Racing Olešná";0;29;0;0;0;0;0;0;0;0;0
"Beneš";"Petr";"YOGI Racing Ostrava 1";0;0;55;60;50;55;0;44;0;0;0
"Blachowski";"Riszard";"CK Orlík Orlová";0;0;0;0;0;0;0;0;0;0;0
"Boszczyk";"Norbert";"Tøinec";0;0;0;0;0;0;0;0;46;0;0
"Buchal";"Ivo";"Racing Olešná";0;36;0;37;0;0;0;0;0;0;0
"Buksa ";"Jiøí";"ODLO Specialized";0;0;0;0;0;42;0;0;0;0;0
"Carbol";"Petr";"Baník Karviná";0;0;0;29;0;0;0;0;0;0;0
"Cichı";"Vlastislav";"Tøinec";0;0;0;0;0;0;0;0;55;0;0
"Cyran";"Damian";"Rybnik";0;0;0;0;0;0;0;0;30;0;0
"Èernota ";"Kamil";"Sport centrum Dolní Benešov";0;0;0;0;0;44;0;0;0;0;0
"Dohnal";"Blahoslav";"Cyklistika pro všechny Krnov";20;0;0;0;0;0;0;0;34;0;0
"DZIAMOR";"Andrzej";"MERIDA Gliwice";0;0;29;0;0;0;0;0;0;0;0
"Fajkus";"Petr";"KCK Zlín";20;0;0;0;0;0;0;0;0;0;0
"FIALA";"Radek";"Veissmann Opava";0;0;50;0;0;0;0;0;0;0;0
"Fierla ";"Jan";"CK Feso Petøvald";0;37;36;39;40;35;38;36;0;0;0
"Franta";"Roman";"Racing Olešná";0;42;0;48;44;"DNF";0;42;0;0;0
"Galuška";"Lambert";"Oldøichovice";0;0;0;0;0;0;0;0;29;0;0
"Galuška";"Tomáš";"LowellPro Šafrata team Bohumín";20;60;"DNF";40;60;50;55;55;50;0;0
"Gatnar";"Jiøí";"CK Hobby Bohumín B";0;0;0;0;0;0;0;0;0;0;0
"Giraczka";"Martin";"LowellPro Šafrata team Bohumín";0;0;0;0;0;0;0;0;0;0;0
"Grölich";"Petr";"SK Bagbike";0;0;0;0;0;0;0;0;0;0;0
"Grussmann";"Václav";"CK Continental Frenštát p. R. 1";20;46;42;42;46;40;42;46;48;0;0
"Guziur ";"Dalibor";"Racing Olešná";0;32;0;0;0;0;0;34;33;0;0
"Havlíèek";"Robert";"YOGI Racing Ostrava 3";0;48;48;44;0;"DNF";0;0;42;0;0
"Hurník";"Pavel";"TK Ostrava";0;0;0;28;0;0;0;0;0;0;0
"Chruòák";"Martin";"YOGI Racing Ostrava 2";0;0;38;50;0;46;0;0;0;0;0
"Jakl";"Jiøí";"Triatlon klub Ostrava";20;31;26;31;34;31;0;32;31;0;0
"JUØÍK";"Kamil";"CYKLO Jeseník";0;0;34;0;38;"DNF";0;0;0;0;0
"Kaiser ";"Zdenìk";;0;0;37;38;0;38;0;0;37;0;0
"Kolorz";"Mariusz";"AGK Rybnik";0;0;0;36;0;0;0;0;0;0;0
"Konderla";"Martin";"Skvelakola.cz";20;0;0;0;0;0;0;0;0;0;0
"Kráèmar";"Petr";"TJ Kolík Bohumín 1";0;0;0;0;0;0;0;0;0;0;0
"Køiák";"Petr";"Berkovice";0;0;0;46;"DNF";0;0;0;0;0;0
"Kuchaø";"Martin";"Cycling team Sokol Kbily";0;0;0;0;0;0;0;48;0;0;0
