Kategorie A;12;;;;;;;;;;;;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Slatina;KrnKrit;BohÈas;Krnov;VCFM;TdJ;MAD;GPF;Stonava;ML60;MJV;Petøvald;Kasárny;Paskov
Mrnùštík;Josef;Cyklotech-Pro a Mrnùštík;0;28;29;0;31;0;26;31;28;28;41;37;33;0;33;36
Mrozek;Jiøí;CK Kolík Hobby Bohumín B;0;39;38;0;35;35;0;0;0;0;48;0;0;0;0;0
Novák;Milan;YOGI Racing Ostrava 1;0;44;55;0;40;42;42;60;55;60;60;70;46;48;60;42
Pìgøimek;Milan;CK Orlík Orlová;0;0;0;0;0;0;33;38;33;31;47;45;34;0;36;0
Pekarèík;Jiøí;Cyklokramo Suchdol nad Odrou;40;23;0;39;0;26;28;0;0;27;38;0;35;38;0;37
Pilecki;Stanislav;Cykloservis MB;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0
Rovenskı;Ladislav;YOGI Racing Ostrava 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Savka;Miroslav;CK Orlík Orlová;0;0;0;0;30;0;30;33;29;29;40;40;36;0;34;0
Skotnica;Josef;SKP Opava;0;24;28;38;0;0;0;0;0;0;37;35;32;0;0;0
Tešnar;Tomáš;YOGI Racing Ostrava 1;0;31;0;0;39;32;36;40;36;0;46;49;0;0;0;0
Toman;Vladislav;Cyklokramo Suchdol nad Odrou;0;42;44;46;0;50;0;44;42;44;0;56;60;55;0;60
Veselı;Petr;TJ T Tøinec  ;42;27;30;48;0;28;0;35;32;30;45;42;37;0;0;38
Zdanowicz;Marek;CK Kolík Hobby Bohumín A ;46;37;0;0;44;38;40;0;26;39;54;0;38;46;0;46
Zemánek;Lubomír;2K-BIKE CLUB Odry;0;48;0;60;50;55;0;0;0;0;0;0;50;0;0;0
;;;;;;;;;;;;;;;;;;
Kategorie ;12;;;;;;;;;;;;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Slatina;KrnKrit;BohÈas;Krnov;VCFM;TdJ;MAD;GPF;Stonava;ML60;MJV;Petøvald;Kasárny;Paskov
Bartošová;Denisa;CK Kolík Hobby Bohumín A;0;48;0;40;40;0;0;0;0;0;0;0;0;0;0;0
Buèíková;Hana;ACS DRAK VRBNO;40;40;38;35;34;33;40;39;0;0;52;48;48;50;40;44
Dohnalová;Jaroslava;Cyklistika pro všechny Krnov;50;0;0;38;0;44;60;50;0;50;0;58;0;0;55;0
Gruchalová;Lucie;CK Kolík Hobby Bohumín A;0;0;50;0;0;40;48;55;0;0;0;0;0;0;0;0
