Kategorie A;13;;;;;;;;;;;;;;;;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Anna;BohÈas;Krnov;VC FM;Bahenec;C.C.;TdJ;MAD;StVes;SPAC;MRSAC;MRSAC;Stonava;GPF;MJV;ML60;Paskov;Petøvald;Ustron
Satinskı;Alexandr;YOGI Racing Ostrava 1;50;36;30;34;38;44;52;46;55;46;52;48;61;46;44;46;36;44;55;48;46;48
Novák;Milan;YOGI Racing Ostrava 1;48;0;37;0;36;46;49;55;50;50;48;50;65;0;0;38;50;0;48;0;50;44
Daòhel;Mojmír;Cyklistika pro všechny Krnov;0;50;39;38;46;60;56;44;37;42;56;60;75;0;0;0;0;0;0;0;42;40
Adamèík;Miroslav;Cyklokramo Suchdol nad Odrou;0;42;0;0;44;0;70;50;48;40;60;44;0;0;0;0;37;55;0;46;44;0
Baran;Petr;SK Bagbike Rubing;0;0;0;0;40;38;58;42;0;0;50;0;59;43;46;44;46;0;42;0;48;42
Chmura;Petr;Team Forman Cinelli;35;34;0;0;0;34;40;36;0;37;43;40;54;0;0;0;32;37;39;40;37;0
Míèek;Oldøich;2K-BIKE CLUB Odry;38;35;0;0;0;48;0;60;42;60;58;0;63;0;50;0;42;0;0;0;0;0
Kopøiva;Miroslav;CK Continental Frenštát p.R.  1;28;0;25;0;37;0;45;34;26;33;31;37;47;0;0;42;27;36;35;35;36;0
Kontúr;Milan;MIKONT Frenštát pod Radhoštìm;29;37;36;0;31;21;41;35;30;35;33;38;48;0;0;36;28;0;0;0;35;0
Koneènı;Pavel;"CK Kolík Hobby Bohumín ""A""";46;40;42;42;34;50;0;0;0;48;49;55;39;0;0;0;0;0;0;0;0;0
Lawicki;Dariusz;CZERNICA MASTERS;0;0;38;16;35;30;44;0;0;36;39;0;53;0;0;37;31;0;40;0;39;36
Lysek;Vladimír;CK Continental Frenštát p.R.  1;0;46;35;0;60;37;60;0;39;0;54;46;0;0;0;60;0;0;0;0;0;0
Hrazdílek;Alois;CK Kolík Hobby Bohumín „A“;0;30;28;0;28;0;35;31;24;30;0;36;46;0;0;31;24;35;34;36;0;0
Jakl;Jiøí;;30;33;32;0;29;20;38;0;0;32;34;0;49;32;24;34;25;0;0;0;0;0
Zvoníèek;Radomír;FORCE KCK ZLÍN;42;39;48;29;0;35;0;0;0;0;41;0;0;0;27;0;0;40;0;44;38;0
Wawrzynkiewicz;Edward;CZERNICA MASTERS;40;0;55;36;0;55;0;0;0;0;45;0;29;0;0;0;40;42;0;0;0;0
Niemczyk;Jan;TJ T Tøinec;0;31;0;0;26;25;42;32;27;31;0;0;50;0;0;35;0;0;0;39;0;0
Rupa;Miroslav;SK Jiøí team Ostrava;31;32;0;0;0;0;48;0;28;34;0;39;52;0;0;0;29;38;0;0;0;0
Špaèek;Petr;Tım VSK Vsetín;44;38;40;0;0;40;0;0;0;0;38;0;57;0;30;0;38;0;0;0;0;0
Praski;Henryk;"CK Kolík Hobby Bohumín ""B""";0;0;44;0;39;0;50;37;32;0;0;0;0;40;0;40;35;0;0;0;0;0
Krawczyk;Andrzej;CZERNICA MASTERS;33;0;50;0;0;22;0;0;29;0;32;0;36;0;0;0;30;0;37;0;0;0
Mück;Arnošt;2K-BIKE CLUB Odry;0;0;0;0;0;0;0;0;0;0;47;0;0;0;48;0;48;48;50;0;0;0
Rumiñski;Stanislaw;CZERNICA MASTERS;34;0;33;11;0;24;0;0;0;0;30;0;37;0;0;0;26;0;0;0;0;0
Motyka;Tomáš;KILPI RACING TEAM OSTRAVA;0;44;24;14;33;0;39;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Petruš;Lubomír;ACS DRAK VRBNO;39;0;0;0;0;39;0;0;0;0;44;0;0;0;0;0;44;0;0;0;0;0
Kaszuba;Miroslav;"CK Kolík Hobby Bohumín ""A""";0;0;34;0;42;36;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0
Boszczyk;Norbert;Skvìlá kola;0;0;0;0;0;0;0;48;44;44;0;0;0;0;0;0;0;0;0;0;0;0
Vyoral;Lubomír;"CK Kolík Hobby Bohumín ""A""";0;0;27;0;0;0;33;0;0;0;0;0;45;0;0;30;0;0;0;0;0;0
Franta;Roman;Racing Olešná;0;0;0;0;0;0;46;0;0;0;36;0;51;0;0;0;0;0;0;0;0;0
Pavlík;Petr;Racing Olešná;0;0;0;0;27;0;37;0;25;0;0;0;38;0;0;0;0;0;0;0;0;0
Holeš;Jiøí;"CK Kolík Hobby Bohumín ""B""";0;0;0;0;25;28;0;0;31;0;37;0;0;0;0;0;0;0;0;0;0;0
Škarka;Jiøí;"CK Kolík Hobby Bohumín ""B""";0;0;29;0;0;26;0;0;0;0;28;0;0;0;0;0;0;0;0;37;0;0
Nováèek;Pavel;Racing Olešná;0;0;0;0;0;27;36;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0
Køiák;Petr;Symbio+Cannondale;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;44;0;0;0
Beneš;Petr;YOGI Racing Ostrava 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;39;0;0;0;0;0
Krchòák;Pavel;ACK Stará Ves nad Ondøejnicí;0;0;0;0;32;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zátopek;Zdenìk;;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
