Kategorie A;13;;;;;;;;;;;;;
p¯ÌjmenÌ;jmÈno;klub;Trispol;Olöovec;MJF;UstroÚ;Boh»as;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.;TdJ
Solnica;Miroslaw;SUPREME STYLE MATES;0;0;0;0;0;0;0;0;42;0;0;0
St¯Ìbrn˝;Libor;Hup na kolo;0;0;0;0;0;40;0;0;0;0;0;0
SUCHARDA;Pavel;Cycling Brno;34;0;0;0;0;0;0;0;0;0;0;0
Swaczyna;Patrik;CK Feso Pet¯vald;35;35;0;36;0;39;0;0;39;48;0;48
SZAFRANIEC;Piotr;MTB-Silesia RybnÌk;0;37;0;0;0;0;0;0;0;0;0;0
äÌma;Martin;Max Cursor;0;0;0;0;0;0;0;0;0;0;48;0
äimeËek;Radim;Profily Midar P¯Ìbor;0;31;0;0;31;0;0;26;24;35;0;0
äVEHLA;Miloslav;Bike Sport Opava;55;0;0;0;0;0;0;0;0;0;0;0
UCHYTIL;Alois;CykloKoalice ZlatÈ Hory a PÌseËn·;23;0;0;0;0;0;0;0;0;0;0;0
Uher;Libor;ADI Outdoor;0;0;0;0;0;0;0;0;27;0;0;0
VavreËka;LumÌr;RC Sviadnov;0;0;0;0;0;0;0;0;0;0;32;0
VodiËka;V·clav;CYCLING BRNO BAGBIKE;0;0;0;0;55;0;0;46;0;0;0;0
Wilhelm;Jaroslav;"CK KolÌk Hobby BohumÌn ""A""";28;33;0;0;32;29;0;27;0;37;37;37
Woznica;Jaroslav;"CK KOLÕK HOBBY BohumÌn ""A""";0;0;0;0;0;34;0;0;0;0;39;0
ZAJÕC;Libor;SportComplex B¯eclav;50;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;
Kategorie D;13;;;;;;;;;;;;;
