Kategorie A;13;;;;;;;;;;;;;;;;;;;;;;;;
p¯ÌjmenÌ;jmÈno;klub;Trispol;Olöovec;MJF;UstroÚ;Boh»as;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.;TdJ;MAD;StVes;SPAC;MRSAC;MRSAC;GPF;Stonava;ML60;MJV;Paskov;BÏl·
Chochol·Ë;Ji¯Ì;CK Continental Frenöt·t p.R.  1;0;55;0;0;0;0;0;0;46;0;48;0;0;0;0;0;0;0;0;0;0;0;0
œurica;Ji¯Ì;;0;0;0;0;29;0;0;28;0;0;0;0;0;0;28;0;0;0;0;0;23;35;0
Chud˝;Jan;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;28;0;37;35
Bab·n;Marcel;Cykloservis MB;0;0;0;0;48;0;0;42;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0
Mat·k;Andrej;Cykloklub Kysuce A;0;0;0;0;35;0;0;35;0;34;0;29;0;0;0;0;0;0;0;0;0;0;0
Vr·bel;David;SK MAXBIKE Ostrava;0;0;0;0;30;29;0;30;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0
Dohnal;Tom·ö;Cyklokramo Suchdol nad Odrou;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;40;24;0;0;22
Androsz;Michal;"CK KolÌk Hobby BohumÌn ""B""";0;0;0;0;33;0;17;0;0;0;0;0;35;0;0;0;0;0;0;0;29;0;0
Novotn˝;Ji¯Ì;Team Forman Cinelli;20;34;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;22;0;0
Kornak;Szymon;;0;0;0;0;0;0;0;0;31;0;0;0;29;0;0;0;0;0;0;25;0;0;26
Wardziak;Wojciech;Jafisport Bike Team;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;35;0;34
Krhut;Martin;SK Bagbike Rubing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;58;0;0;0;0;0
Kwiecieny;Adam;;0;0;0;0;0;0;0;0;0;0;31;0;0;42;0;0;0;0;0;30;0;0;0
Sekta;Rafal;JAFISPORT BIKE TEAM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;40
