Kategorie A;13;;;;;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Ustroò;BohÈas;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.
Jaroš;Martin;Racing Olešná „B“;0;0;0;0;38;0;0;28;0;0;36
JÍLEK;Martin;Cyklo Polách Šumperk;29;0;0;0;0;0;0;0;0;0;0
Juøík;Kamil;FITKO JESENÍK;0;0;0;0;0;30;0;0;0;0;0
Kaiser;Zdenìk;A Bike Club Ostrava;0;34;0;0;28;0;6;22;33;34;0
Kantor;Tomáš;TJ T Tøinec;0;0;0;0;0;0;0;0;0;38;0
Karásek;Jiøí;Racing Olešná B;0;0;0;0;0;0;0;0;26;0;0
KAŠPAR;Petr;CykloKoalice Zlaté Hory a Píseèná;20;0;0;0;0;0;0;0;0;0;0
Klášterka;Tomáš;CK Continental Frenštát p.R.  1;60;60;0;50;42;60;0;50;60;60;60
KOÈVARA;Jiøí;SK AIB Bøidlièná;25;0;0;0;0;0;0;0;0;0;0
Kokeš;Pavel;SK Valašského království;0;46;0;0;50;55;0;55;0;0;0
Koláèek;Petr;CK Feso Petøvald;0;0;0;0;0;0;0;0;36;0;0
Kolorz;Mariusz;"CK Kolík Hobby Bohumín ""A""";22;0;0;0;33;0;0;30;38;0;0
KOUØIL;Martin;Fitko Jeseník;38;0;0;0;0;0;0;0;0;0;0
Kovaøík;Roman;"CK Kolík Hobby Bohumín ""B""";0;0;0;0;0;0;0;0;35;0;0
Krejèiøík;Petr;2K-BIKE CLUB Odry;0;0;0;0;0;0;0;0;0;0;0
Kubala;Janusz;Cykloservis MB;0;0;0;0;0;0;0;0;0;0;0
Lysek;Vladimír;CK Continental Frenštát p.R.  2;0;0;0;0;39;0;0;36;0;0;0
Machotka;Karel;YOGI Racing Ostrava 1;42;0;0;0;60;0;0;48;44;46;0
MAJKUT;Petr;PM Bike idlochovice;40;0;0;0;0;0;0;0;0;0;0
Majtner;Petr;"Skvìlá kola-TJ T Tøinec ""A""";0;0;0;0;34;0;0;34;0;0;0
Maliòák;Tomáš;;0;0;0;0;0;0;0;0;0;0;29
Matula;Krzysztof;Niezrzeszony;0;0;0;0;0;35;0;0;0;0;0
MIÈUNEK;Jakub;Buldoci Rapotín;19;0;0;0;0;0;0;0;0;0;0
Novák;Milan;XXX Bike Club;0;0;0;0;0;0;0;31;37;0;0
Odvárka;Ivo;FORCE KCK CYKLOTEAM ZLÍN;48;38;0;60;48;46;39;60;55;55;55
ONDERKA;Milan;Yogi Racing Ostrava I.;21;0;0;0;0;0;0;35;0;0;0
Ostrovski;Darek;Alva 1- twomark;0;0;0;0;0;36;0;0;0;0;0
Pecháèek;Adam;ELEVEN MERCEDES-BENZ MITAS;0;0;0;0;0;0;0;0;30;0;0
PELCL;Petr;Buldoci Rapotín;24;0;0;0;0;0;0;0;0;0;0
Piechaczek;Krzysztof;Lowell Pro Šafrata Team Bohumín;0;0;0;0;0;0;0;0;0;0;0
PODOLSKI;Krysztof;MTB TEAM RMF FM;36;0;0;40;0;37;0;0;0;0;0
PROKEŠ ;Stanislav;Prokeš Team;46;0;0;0;0;0;0;0;0;0;0
Pytel;Jaromír;CYCLING BRNO BAGBIKE;0;55;0;0;40;48;50;42;50;0;0
RADA;Pavel;CK PEMAP;0;36;0;0;0;0;0;0;0;0;0
RADZKI;Tomasz;Dobre Sklepy Rowerove;32;0;0;28;0;32;0;0;0;0;0
ROTTER;Michal;SKP DUHA FORT Lanškroun;0;44;0;0;0;0;0;0;0;0;0
SEDLÁÈEK;Daniel;In Life Cycling Team;30;0;0;0;0;0;0;0;0;0;0
Sedláø;Milan;FORCE KCK CYKLOTEAM ZLÍN;0;0;0;0;0;0;0;0;23;0;34
Schnerch;Martin;"Skvìlá kola-TJ T Tøinec ""A""";26;39;0;22;35;33;14;24;21;0;0
